Id,Price
4567,154248.84862354337
5925,128131.63128208755
960,141768.96722784828
3848,150201.58542670167
746,180788.27366396383
868,392506.93023425236
672,107490.18078345447
2471,195088.1486338523
4510,122872.303743072
8354,232069.1833486601
6393,177559.1383833491
13270,228418.5247478469
5250,298123.2204823363
16751,172549.33658258725
11404,134930.3616833015
10588,318821.9764138982
14925,192475.08544442724
6791,223005.9389670327
16097,197676.05499148992
16428,356553.03131665866
6945,342432.5123725999
3190,189243.85126037322
15709,439734.7062940257
13155,180612.20639974638
7675,203471.75772874415
14686,241297.5200802578
609,166681.62848793154
11155,147696.02798338459
10869,187011.60164897543
15742,186251.00988179937
9245,189587.90857876078
3340,180763.9314266351
2359,276375.1239088067
8070,219482.09264803585
13707,128506.92872262294
16079,293829.1013442844
15937,272475.10715834546
14090,187442.706183181
9008,234989.7427427445
16384,185128.06771171457
11657,256199.75326779872
13151,149363.10688914653
8990,180458.27153908432
11857,186195.4785776642
1565,172361.72075513506
8174,94287.70668671574
9247,226275.51266521457
10478,208038.14307244352
15509,149115.39346034717
8306,202028.7061631673
6642,188903.31315171462
7472,219849.81603532739
15989,132743.748030201
13682,134876.5230315078
163,285370.70789402275
7076,176690.04003935825
7478,374477.6336404431
3029,189010.59544316
1814,146594.8589290405
10057,133296.71965803296
15100,192754.50058383145
12694,237316.69726105206
6291,177781.32564326815
12603,202243.75582395255
3218,247238.9784640885
13456,131583.5926104503
10170,243557.17284765738
4530,165581.94065135912
13329,161396.87816954427
4820,139812.98760382642
10896,163855.9641457563
13416,127337.42489208751
2701,221441.2111461514
11265,321584.1806171581
9189,277923.1770186126
1858,187829.4342822806
14536,237168.30105133285
6199,328160.40695423656
14730,152481.2126491545
7510,259776.2353027273
15505,164661.69760713962
7446,208549.37166206606
14016,196458.15111225742
14113,116030.88123440949
8721,315577.97444912785
6193,277986.3995454565
5717,176490.896638104
5427,324070.3885988043
9520,508709.6372453127
6869,100363.01832432365
1658,156461.86398935097
6639,204307.18399448655
6283,191077.0296011046
6257,123711.4138151381
15235,193289.71954248365
902,229369.4415867451
8932,211556.45350351062
16469,299015.49153780274
2825,281218.84509332554
6450,432966.3344197827
11366,178934.40623308052
3801,336343.6043595565
11385,219581.69639342502
1079,198505.21601373432
3202,250339.74198397587
676,206086.479522072
6185,266517.22947954055
7730,168539.4999052643
2573,181162.92818568458
10978,208100.07642260924
10962,255363.86077150668
8870,202857.1671322071
8496,183855.66441929713
5517,177758.1351806693
927,186838.70419896403
13675,187897.0309338922
1499,237649.11109499764
15536,328017.46876295586
8602,343612.4356812845
12137,406200.07077852904
9865,259475.65605005884
16353,281216.76172521495
15908,222315.95241163136
3944,182474.5982627282
10359,205849.57871270445
15158,221281.00354872792
3259,254676.9720771335
7220,335305.3493841307
13843,208750.3979276336
16736,187386.69162190435
702,247991.8973782579
16401,105959.00544288055
12134,181385.84527488414
6918,209930.9937913496
11792,131587.35086078307
3798,145083.98921602077
10395,125950.11848400542
11099,142374.5584017937
7090,202221.4563654225
11260,189330.87337248732
9647,218823.57614639017
2903,362709.9165070832
2071,183875.45536702874
8604,207199.53998094902
9346,216055.3795776486
3945,209531.99556072912
3420,142365.3499462991
10842,127845.94702505937
725,161875.1583992472
13931,206127.04498307544
16330,220865.76941041357
9066,429140.91041194677
3326,322615.2988351787
1556,271429.896803041
6579,105242.71262317848
13877,144228.5369163814
9857,314395.0616094565
7302,254792.37432010082
5684,188561.8296273947
6513,221153.12568838746
11342,117063.38562540316
16561,234358.22210213152
6885,177518.53669069003
9308,184666.45937341714
2559,170932.3267069942
6648,186940.0677577419
15260,172462.34688697557
5113,183929.87203105257
16492,197941.76034041482
12034,279799.77114891703
7248,201044.9814388062
2171,199907.00169454244
10594,164043.09300163266
13241,192072.64208952774
7032,149891.92132300613
4884,152211.23409494513
903,244887.97450621877
162,165056.17422836708
6566,231011.45727353665
8249,126068.92877659545
13106,202754.6558589213
256,132242.11886122153
7976,162421.12378051702
8575,171212.81834775378
7591,293956.7130577931
3204,245298.92333918082
15804,186649.11403383047
1525,294697.67578791955
9038,205066.35683018446
13628,189192.41486568432
10016,216144.49767789827
10208,240269.25369320193
2008,196578.9153097731
13029,198188.31861633956
5099,127837.29732869945
9923,290960.86867091304
9461,136251.3228212007
11086,165107.84148761438
15057,220843.01227016718
10689,175912.7209774789
2053,246462.25367855458
16630,169909.19242724217
4985,162790.06343924854
13881,225039.1685931985
13225,196591.68976155034
5779,69927.592435347
10262,184907.25479202147
10762,224390.7260270358
9513,192069.5313793273
11128,158630.0812034792
2074,323729.89603675785
933,198389.51086192683
2780,183962.51474395662
6594,117035.21311799272
15394,314192.7857873451
14863,130209.80996707533
6698,219950.64127547125
1611,279085.4777620688
174,187174.37918533414
5160,203294.458009396
3295,314582.9047787805
4559,358276.1136301176
8254,178324.60357038633
10228,105065.86943782418
13924,139250.5701724472
15341,247887.70631657683
4353,187382.9149613452
4334,69044.02968978156
1872,159546.24838676542
7823,183316.26920450886
310,167561.51675831238
3704,238650.0477640558
11615,276577.52186252153
6605,195137.10648026335
3381,196039.9149310128
2143,144474.09177678655
3191,238123.91297502632
13980,132449.34336587493
15613,170392.40792117943
10943,264085.2140793587
9654,148826.5108134357
16053,341992.98020396585
